DATE,LNS11300031
2015-06-01,67.4
2015-07-01,66.9
2015-08-01,67.2
2015-09-01,67
2015-10-01,66.9
2015-11-01,66.9
2015-12-01,67.1
2016-01-01,67.0
2016-02-01,67.4
2016-03-01,67.3
2016-04-01,68.0
2016-05-01,67.2
2016-06-01,67.8
2016-07-01,67.6
2016-08-01,67.2
2016-09-01,67.6
2016-10-01,67.4
2016-11-01,67.7
2016-12-01,68.0
2017-01-01,68.0
2017-02-01,67.8
2017-03-01,68.3
2017-04-01,68.2
2017-05-01,67.6
2017-06-01,67.5
2017-07-01,68.0
2017-08-01,68.1
2017-09-01,68.9
2017-10-01,68.1
2017-11-01,68.3
2017-12-01,67.9
2018-01-01,67.9
2018-02-01,69.2
2018-03-01,68.2
2018-04-01,67.6
2018-05-01,68.5
2018-06-01,67.0
2018-07-01,67.8
2018-08-01,68.2
2018-09-01,67.9
2018-10-01,68.3
2018-11-01,67.6
2018-12-01,67.3
2019-01-01,68.0
2019-02-01,68.2
2019-03-01,68.0
2019-04-01,68.3
2019-05-01,68.0
2019-06-01,67.1
2019-07-01,68.4
2019-08-01,68.2
2019-09-01,68.1
2019-10-01,68.0
2019-11-01,68.1
2019-12-01,68.6
2020-01-01,67.6
